count,"Landing Pages (Tier A) Should be everything not in other Tiers, B, C, D, E",Product Pages (Tier B) Use Pattern Matching,Event Pages (Tier C) Use Pattern Matching,Blog Pages (Tier D) Use Pattern Matching,Academy Pages (Tier E) Specific URLS,Unmapped Pages (Tier F) Anything not mapped in other tiers
134,,,,https://www.alanranger.com/blog-on-photography/jpeg-vs-raw-the-key-differences,,
135,,,,https://www.alanranger.com/blog-on-photography/camera-sensor-cleaning-guide,,
136,,,,https://www.alanranger.com/blog-on-photography/top-tips-for-photographing-bluebells,,
137,,,,https://www.alanranger.com/blog-on-photography/mastering-landscape-photography-tips-and-techniques,,
138,,,,https://www.alanranger.com/blog-on-photography/mastering-photography-composition-rules,,
139,,,,https://www.alanranger.com/blog-on-photography/black-and-white-photography-for-beginners,,
140,,,,https://www.alanranger.com/blog-on-photography/the-studies-to-become-a-professional-photographer,,
141,,,,https://www.alanranger.com/blog-on-photography/photography-english-talk-with-confidence,,
142,,,,https://www.alanranger.com/blog-on-photography/become-a-photographer-on-campus,,
143,,,,https://www.alanranger.com/blog-on-photography/learn-photography-online-photography-classes,,
144,,,,https://www.alanranger.com/blog-on-photography/technical-skills-photography-students-need,,
145,,,,https://www.alanranger.com/blog-on-photography/top-bluebell-woodland-tips,,
146,,,,https://www.alanranger.com/blog-on-photography/what-are-camera-drive-modes,,
147,,,,https://www.alanranger.com/blog-on-photography/how-much-do-photographers-earn,,
148,,,,https://www.alanranger.com/blog-on-photography/how-to-improve-your-woodland-pictures,,
149,,,,https://www.alanranger.com/blog-on-photography/midlands-photography-workshops-with-alan-ranger,,
150,,,,https://www.alanranger.com/blog-on-photography/secrets-to-woodland-photography-masterclass,,
151,,,,https://www.alanranger.com/blog-on-photography/professional-commercial-photography-in-coventry,,
152,,,,https://www.alanranger.com/blog-on-photography/mastering-the-art-of-winter-photography,,
153,,,,https://www.alanranger.com/blog-on-photography/mastering-the-art-of-shadow-photography,,
154,,,,https://www.alanranger.com/blog-on-photography/guide-preparing-for-your-photography-workshop,,
155,,,,https://www.alanranger.com/blog-on-photography/photography-evening-classes-fun-informative,,
156,,,,https://www.alanranger.com/blog-on-photography/landscape-fine-art-photography-prints,,
157,,,,https://www.alanranger.com/blog-on-photography/best-product-photography-tripod,,
158,,,,https://www.alanranger.com/blog-on-photography/selecting-the-ideal-product-photographer,,
159,,,,https://www.alanranger.com/blog-on-photography/kentfaith-concept-square-filter-system,,
160,,,,https://www.alanranger.com/blog-on-photography/know-your-camera-filters,,
161,,,,https://www.alanranger.com/blog-on-photography/secrets-of-lake-district-landscape-photography,,
162,,,,https://www.alanranger.com/blog-on-photography/tripods-a-photographers-best-friend,,
163,,,,https://www.alanranger.com/blog-on-photography/manfrotto-befree-tripod-review,,
164,,,,https://www.alanranger.com/blog-on-photography/alistair-willis-rps-distinctions,,
165,,,,https://www.alanranger.com/blog-on-photography/lightroom-classic-latest-version-whats-new,,
166,,,,https://www.alanranger.com/blog-on-photography/creative-potential-with-nik-collection-7,,
167,,,,https://www.alanranger.com/blog-on-photography/how-mirrorless-cameras-are-shaping-photography,,
168,,,,https://www.alanranger.com/blog-on-photography/case-barbara-voules-rps-distinctions,,
169,,,,https://www.alanranger.com/blog-on-photography/case-study-ian-slater-rps-distinctions,,
170,,,,https://www.alanranger.com/blog-on-photography/how-to-take-professional-photos,,
171,,,,https://www.alanranger.com/blog-on-photography/beginners-photography-course-in-coventry,,
172,,,,https://www.alanranger.com/blog-on-photography/learn-landscape-photography-techniques,,
173,,,,https://www.alanranger.com/blog-on-photography/prepare-for-photography-courses,,
174,,,,https://www.alanranger.com/blog-on-photography/professional-commercial-photography-elevate-your-business,,
175,,,,https://www.alanranger.com/blog-on-photography/exposure-bracketing-photos,,
176,,,,https://www.alanranger.com/blog-on-photography/learn-photography-basics-with-a-mentor,,
177,,,,https://www.alanranger.com/blog-on-photography/the-perfect-travel-tripod-benro-cyanbird,,
178,,,,https://www.alanranger.com/blog-on-photography/alternative-long-exposure-photography-techniques,,
179,,,,https://www.alanranger.com/blog-on-photography/whats-new-in-lightroom-classic-13,,
180,,,,https://www.alanranger.com/blog-on-photography/northumberland-landscape-photography-why-northumbria,,
181,,,,https://www.alanranger.com/blog-on-photography/north-devon-photography-workshops-why-devon,,
182,,,,https://www.alanranger.com/blog-on-photography/why-snowdonia-landscape-photography-workshops,,
183,,,,https://www.alanranger.com/blog-on-photography/social-media-for-photographers-tips,,
184,,,,https://www.alanranger.com/blog-on-photography/enhancing-your-photography-with-kase-filters,,
185,,,,https://www.alanranger.com/blog-on-photography/ultimate-guide-to-summer-landscape-photography,,
186,,,,https://www.alanranger.com/blog-on-photography/photography-basics-how-to-improve-photography,,
187,,,,https://www.alanranger.com/blog-on-photography/creative-editing-with-nik-collection-6,,
188,,,,https://www.alanranger.com/blog-on-photography/partner-to-jaguar-land-rover-training,,
189,,,,https://www.alanranger.com/blog-on-photography/become-a-better-photographer,,
190,,,,https://www.alanranger.com/blog-on-photography/camera-bag-review-of-manfrotto-backpack,,
191,,,,https://www.alanranger.com/blog-on-photography/kase-filters-and-lightroom-queen-deals,,
192,,,,https://www.alanranger.com/blog-on-photography/photography-concepts-for-beginners,,
193,,,,https://www.alanranger.com/blog-on-photography/used-cameras-and-lenses,,
194,,,,https://www.alanranger.com/blog-on-photography/5-stages-to-improve-your-photography,,
195,,,,https://www.alanranger.com/blog-on-photography/keeping-sensors-clean-sensor-cleaning,,
196,,,,https://www.alanranger.com/blog-on-photography/shooting-in-low-light,,
197,,,,https://www.alanranger.com/blog-on-photography/case-study-janice-jordan-rps-distinctions,,
198,,,,https://www.alanranger.com/blog-on-photography/top-6-tips-for-photographing-fireworks,,
199,,,,https://www.alanranger.com/blog-on-photography/photography-tips-10-things-to-know,,
200,,,,https://www.alanranger.com/blog-on-photography/case-study-kirsten-pearce-rps-distinctions,,
201,,,,https://www.alanranger.com/blog-on-photography/haiku-with-a-picture-shahai,,
202,,,,https://www.alanranger.com/blog-on-photography/photography-lessons-for-beginners,,
203,,,,https://www.alanranger.com/blog-on-photography/expressive-photography-hard-often-frustrating,,
204,,,,https://www.alanranger.com/blog-on-photography/the-camera-is-an-instrument-,,
205,,,,https://www.alanranger.com/blog-on-photography/recommended-travel-lightweight-tripods,,
206,,,,https://www.alanranger.com/blog-on-photography/case-study-max-dobres-rps-distinctions,,
207,,,,https://www.alanranger.com/blog-on-photography/camera-care-guide,,
208,,,,https://www.alanranger.com/blog-on-photography/jacki-rosin-arps-rhs-exhibition,,
209,,,,https://www.alanranger.com/blog-on-photography/winter-photography-magic,,
210,,,,https://www.alanranger.com/blog-on-photography/case-study-dennis-jeffrey-rps-distinctions,,
211,,,,https://www.alanranger.com/blog-on-photography/choosing-a-camera,,
212,,,,https://www.alanranger.com/blog-on-photography/rps-distinctions-group-cfp5t,,
213,,,,https://www.alanranger.com/blog-on-photography/5-reasons-to-use-a-tripod,,
214,,,,https://www.alanranger.com/blog-on-photography/partnership-with-one-vision-imaging,,
215,,,,https://www.alanranger.com/blog-on-photography/using-a-nd-filter,,
216,,,,https://www.alanranger.com/blog-on-photography/learn-photography-how,,
217,,,,https://www.alanranger.com/blog-on-photography/tripods-gitzo-vs-benro-review,,
218,,,,https://www.alanranger.com/blog-on-photography/photographers-composition-viewing-frame,,
219,,,,https://www.alanranger.com/blog-on-photography/ten-tips-towards-better-composition,,
220,,,,https://www.alanranger.com/blog-on-photography/basics-how-to-use-a-tripod,,
221,,,,https://www.alanranger.com/blog-on-photography/how-to-become-a-better-photographer,,
222,,,,https://www.alanranger.com/blog-on-photography/photography-basics-creative-photo-projects,,
223,,,,https://www.alanranger.com/blog-on-photography/case-study-janet-boulter-rps-distinctions,,
224,,,,https://www.alanranger.com/blog-on-photography/which-lens-should-i-buy-next,,
225,,,,https://www.alanranger.com/blog-on-photography/photography-basics-creative-editing,,
226,,,,https://www.alanranger.com/blog-on-photography/top-10-composition-mistakes-beginners-make,,
227,,,,https://www.alanranger.com/blog-on-photography/advanced-editing-with-nik-collection,,
228,,,,https://www.alanranger.com/blog-on-photography/case-study-jacki-rosin,,
229,,,,https://www.alanranger.com/blog-on-photography/hartland-quay-devon-coastal-workshop,,
230,,,,https://www.alanranger.com/blog-on-photography/virtual-bluebell-photoshoot,,
231,,,,https://www.alanranger.com/blog-on-photography/case-study-chris-shaw,,
232,,,,https://www.alanranger.com/blog-on-photography/photography-show-buying-advice,,
233,,,,https://www.alanranger.com/blog-on-photography/case-study-francis-peckham-rps-distinctions,,
234,,,,https://www.alanranger.com/blog-on-photography/avoid-camera-shake,,
235,,,,https://www.alanranger.com/blog-on-photography/case-study-vincenzo-albano-rps-distinctions,,
236,,,,https://www.alanranger.com/blog-on-photography/case-study-jacki-rosin-rps-distinctions,,
237,,,,https://www.alanranger.com/blog-on-photography/ireland-photography-workshop-recce-report,,
238,,,,https://www.alanranger.com/blog-on-photography/new-partnership-with-one-vision-imaging,,
239,,,,https://www.alanranger.com/blog-on-photography/case-study-anne-watkinson-rps-distinctions,,
240,,,,https://www.alanranger.com/blog-on-photography/case-study-paul-kirby-rps-distinctions,,
241,,,,https://www.alanranger.com/blog-on-photography/case-study-joyce-james-rps-distinctions,,
242,,,,https://www.alanranger.com/blog-on-photography/photographers-rights-in-the-uk,,
243,,,,https://www.alanranger.com/blog-on-photography/creative-photo-editing,,
244,,,,https://www.alanranger.com/blog-on-photography/a-christmas-day-memory-crisis,,
245,,,,https://www.alanranger.com/blog-on-photography/how-to-make-moving-photographs,,
246,,,,https://www.alanranger.com/blog-on-photography/suffolk-punch-personal-perspective,,
247,,,,https://www.alanranger.com/blog-on-photography/photographers-copyright-digital-images-photographs,,
248,,,,https://www.alanranger.com/blog-on-photography/help-portrait-coventry-report,,
249,,,,https://www.alanranger.com/blog-on-photography/help-portrait-uk-coventry-school-shoot,,
250,,,,https://www.alanranger.com/blog-on-photography/schools-photo-project,,
251,,,,https://www.alanranger.com/blog-on-photography/shooting-night-time-photography-tips,,
252,,,,https://www.alanranger.com/blog-on-photography/rubys-first-photo-project,,
253,,,,https://www.alanranger.com/blog-on-photography/help-portrait-uk-coventry,,
254,,,,https://www.alanranger.com/blog-on-photography/learn-how-to-use-lightroom,,
255,,,,https://www.alanranger.com/blog-on-photography/my-rps-distinctions-journey-mike-ford,,
256,,,,https://www.alanranger.com/blog-on-photography/camera-leveling-dont-be-wonky,,
257,,,,https://www.alanranger.com/blog-on-photography/struggle-to-see-your-camera-screen,,
258,,,,https://www.alanranger.com/blog-on-photography/photography-equipment-for-beginners,,
259,,,,https://www.alanranger.com/blog-on-photography/iphone-camera-vs-the-digital-camera,,
260,,,,https://www.alanranger.com/blog-on-photography/photography-the-epitome-of-art,,
261,,,,https://www.alanranger.com/blog-on-photography/case-study-mike-ford,,
262,,,,https://www.alanranger.com/blog-on-photography/case-study-joyce-james,,
263,,,,https://www.alanranger.com/blog-on-photography/photography-for-kids,,
264,,,,https://www.alanranger.com/blog-on-photography/case-study-kirsten-pearce,,
265,,,,https://www.alanranger.com/blog-on-photography/abstract-photography-1,,
266,,,,https://www.alanranger.com/blog-on-photography/7-most-common-camera-exposure-mistakes,,
267,,,,https://www.alanranger.com/blog-on-photography/best-way-to-learn-photography-2026,,
268,,,,https://www.alanranger.com/blog-on-photography/professional-headshots-for-linkedin,,
269,,,,https://www.alanranger.com/blog-on-photography/portrait-photography-tips,,
270,,,,https://www.alanranger.com/blog-on-photography/learn-photography-online,,
271,,,,https://www.alanranger.com/blog-on-photography/how-to-take-real-estate-photos,,
272,,,,https://www.alanranger.com/blog-on-photography/night-photography-settings,,
273,,,,https://www.alanranger.com/blog-on-photography/corporate-headshot-photography,,
274,,,,https://www.alanranger.com/blog-on-photography/product-photography-ideas,,
275,,,,https://www.alanranger.com/blog-on-photography/natural-light-photography-tips,,
276,,,,https://www.alanranger.com/blog-on-photography/how-to-photograph-jewelry,,
277,,,,https://www.alanranger.com/blog-on-photography/diy-product-photography,,
278,,,,https://www.alanranger.com/blog-on-photography/product-photography-lighting,,
279,,,,https://www.alanranger.com/blog-on-photography/how-to-photograph-artwork,,
280,,,,https://www.alanranger.com/blog-on-photography/real-estate-photography-tips,,
281,,,,https://www.alanranger.com/blog-on-photography/how-to-take-product-photos-with-iphone,,
282,,,,https://www.alanranger.com/blog-on-photography/how-to-photograph-fireworks,,
283,,,,https://www.alanranger.com/blog-on-photography/product-photography-warwickshire,,
284,,,,https://www.alanranger.com/blog-on-photography/corporate-photography-training-coventry,,
285,,,,https://www.alanranger.com/blog-on-photography/photography-gift-vouchers-ideas,,
286,,,,https://www.alanranger.com/blog-on-photography/how-to-photograph-northern-lights,,
287,,,,,,
288,,,,,,
289,,,,,,
290,,,,,,
291,,,,,,
292,,,,,,
293,,,,,,
294,,,,,,
295,,,,,,
296,,,,,,
297,,,,,,
298,,,,,,
299,,,,,,
300,,,,,,
301,,,,,,
302,,,,,,
303,,,,,,
304,,,,,,
305,,,,,,
306,,,,,,
307,,,,,,
308,,,,,,
309,,,,,,
310,,,,,,
311,,,,,,
312,,,,,,
313,,,,,,
314,,,,,,
315,,,,,,
316,,,,,,
317,,,,,,
318,,,,,,
319,,,,,,
320,,,,,,
321,,,,,,
322,,,,,,
323,,,,,,
324,,,,,,
325,,,,,,
326,,,,,,
327,,,,,,
328,,,,,,
329,,,,,,
330,,,,,,
331,,,,,,
332,,,,,,
333,,,,,,
334,,,,,,
335,,,,,,
336,,,,,,
337,,,,,,
338,,,,,,
339,,,,,,
340,,,,,,
341,,,,,,
342,,,,,,
343,,,,,,
344,,,,,,
345,,,,,,
346,,,,,,
347,,,,,,
348,,,,,,
349,,,,,,
350,,,,,,
351,,,,,,
352,,,,,,
353,,,,,,
354,,,,,,
355,,,,,,
356,,,,,,
357,,,,,,
358,,,,,,
359,,,,,,
360,,,,,,
361,,,,,,
362,,,,,,
363,,,,,,
364,,,,,,
365,,,,,,
366,,,,,,
367,,,,,,
368,,,,,,
369,,,,,,
370,,,,,,
371,,,,,,
372,,,,,,
373,,,,,,
374,,,,,,
375,,,,,,
376,,,,,,
377,,,,,,
378,,,,,,
379,,,,,,
380,,,,,,
381,,,,,,
382,,,,,,
383,,,,,,
384,,,,,,
385,,,,,,
386,,,,,,
387,,,,,,
388,,,,,,
389,,,,,,
390,,,,,,
391,,,,,,
392,,,,,,
393,,,,,,
394,,,,,,
395,,,,,,
396,,,,,,
397,,,,,,
398,,,,,,
399,,,,,,
400,,,,,,
401,,,,,,
402,,,,,,
403,,,,,,
404,,,,,,
405,,,,,,
406,,,,,,
407,,,,,,
408,,,,,,
409,,,,,,
410,,,,,,
411,,,,,,
412,,,,,,
413,,,,,,
414,,,,,,
415,,,,,,
416,,,,,,
417,,,,,,
418,,,,,,
419,,,,,,
420,,,,,,
421,,,,,,
422,,,,,,
423,,,,,,
424,,,,,,
425,,,,,,
426,,,,,,
427,,,,,,
428,,,,,,
429,,,,,,
430,,,,,,
431,,,,,,
432,,,,,,
433,,,,,,
434,,,,,,
435,,,,,,
436,,,,,,
437,,,,,,
438,,,,,,
439,,,,,,
440,,,,,,
441,,,,,,
442,,,,,,
443,,,,,,
444,,,,,,
445,,,,,,
446,,,,,,
447,,,,,,
448,,,,,,
449,,,,,,
450,,,,,,
451,,,,,,
452,,,,,,
453,,,,,,
454,,,,,,
455,,,,,,
456,,,,,,
457,,,,,,
458,,,,,,
459,,,,,,
460,,,,,,
461,,,,,,
462,,,,,,
463,,,,,,
464,,,,,,
465,,,,,,
466,,,,,,
467,,,,,,
468,,,,,,
469,,,,,,
470,,,,,,
471,,,,,,
472,,,,,,
473,,,,,,
474,,,,,,
475,,,,,,
476,,,,,,
477,,,,,,
478,,,,,,
479,,,,,,
480,,,,,,
481,,,,,,
482,,,,,,
483,,,,,,
484,,,,,,
485,,,,,,
486,,,,,,
487,,,,,,
488,,,,,,
489,,,,,,
490,,,,,,
491,,,,,,
492,,,,,,
493,,,,,,
494,,,,,,
495,,,,,,
496,,,,,,
497,,,,,,
498,,,,,,
499,,,,,,
500,,,,,,
501,,,,,,
502,,,,,,
503,,,,,,
504,,,,,,
505,,,,,,
506,,,,,,
507,,,,,,
508,,,,,,
509,,,,,,
510,,,,,,
511,,,,,,
512,,,,,,
513,,,,,,
514,,,,,,
515,,,,,,
516,,,,,,
517,,,,,,
518,,,,,,
519,,,,,,
520,,,,,,
521,,,,,,
522,,,,,,
523,,,,,,
524,,,,,,
525,,,,,,
526,,,,,,
527,,,,,,
528,,,,,,
529,,,,,,
530,,,,,,
531,,,,,,
532,,,,,,
533,,,,,,
534,,,,,,
535,,,,,,
536,,,,,,
537,,,,,,
538,,,,,,
539,,,,,,
540,,,,,,
541,,,,,,
542,,,,,,
543,,,,,,
544,,,,,,
545,,,,,,
546,,,,,,
547,,,,,,
548,,,,,,
549,,,,,,
550,,,,,,
551,,,,,,
552,,,,,,
553,,,,,,
554,,,,,,
555,,,,,,
556,,,,,,
557,,,,,,
558,,,,,,
559,,,,,,
560,,,,,,
561,,,,,,
562,,,,,,
563,,,,,,
564,,,,,,
565,,,,,,
566,,,,,,
567,,,,,,
568,,,,,,
569,,,,,,
570,,,,,,
571,,,,,,
572,,,,,,
573,,,,,,
574,,,,,,
575,,,,,,
576,,,,,,
577,,,,,,
578,,,,,,
579,,,,,,
580,,,,,,
581,,,,,,
582,,,,,,
583,,,,,,
584,,,,,,
585,,,,,,
586,,,,,,
587,,,,,,
588,,,,,,
589,,,,,,
590,,,,,,
591,,,,,,
592,,,,,,
593,,,,,,
594,,,,,,
595,,,,,,
596,,,,,,
597,,,,,,
598,,,,,,
599,,,,,,
